co2	temp	humidity
521	25.85	43.16
537	25.84	43.15
536	25.85	43.08
531	25.87	43.25
533	25.88	43.05
535	25.87	43.05
535	25.87	43.03
535	25.87	43.17
538	25.85	43.08
538	25.87	43.05
537	25.88	43.11
538	25.88	43.12
539	25.88	42.98
540	25.88	43.1
540	25.88	43.36
549	25.91	43.78
559	25.89	43.41
567	25.89	43.53
583	25.89	43.21
586	25.91	43.16
591	25.92	43.06
591	25.91	43.31
593	25.92	43.44
595	25.91	43.43
599	25.92	43.32
600	25.91	43.33
602	25.95	43.35
602	25.92	43.34
607	25.94	43.55
609	25.96	43.26
616	25.95	43.53
624	25.94	43.55
627	25.95	43.21
631	25.96	43.24
631	25.96	43.3
628	25.98	43.47
629	25.96	43.59
629	25.96	43.16
628	25.95	43.15
627	25.96	43.14
626	25.95	43.1
623	25.96	43.04
620	25.94	43.05
616	25.95	43.02
614	25.95	43.0
603	25.96	43.02
596	25.96	43.04
596	25.95	43.17
592	25.96	43.01
589	25.98	43.08
583	25.96	43.12
581	25.98	43.13
580	25.95	43.42
581	25.95	44.54
600	25.98	44.48
624	25.98	43.51
634	25.96	43.28
636	25.98	43.16
636	25.99	43.21
635	25.98	43.1
634	25.98	43.22
632	25.98	43.32
632	25.98	43.24
623	25.96	43.16
623	25.96	43.29
622	25.98	43.48
622	25.99	43.15
620	25.96	43.28
620	25.99	43.13
618	26.01	43.04
612	25.96	43.13
610	25.98	43.08
610	25.99	43.19
608	25.99	43.04
606	25.98	42.98
602	25.99	43.05
595	25.98	43.06
595	26.01	43.02
592	25.98	43.11
593	25.98	43.05
592	25.99	43.24
589	25.99	43.36
585	26.01	43.16
580	25.99	43.05
579	26.02	43.19
577	25.99	43.07
577	25.99	43.06
576	25.98	43.49
576	25.99	43.18
575	26.01	43.13
575	26.01	43.05
575	25.99	43.15
574	26.01	43.13
573	25.98	43.11
573	25.98	43.08
572	26.01	43.04
573	25.98	43.1
571	25.99	43.19
571	26.01	43.16
572	25.96	42.99
572	25.95	43.02
571	25.98	43.07
571	25.99	43.07
570	25.96	43.1
570	25.99	43.07
570	25.96	43.19
569	25.98	43.15
568	26.02	43.07
567	25.98	43.1
566	25.96	43.07
566	25.96	43.07
566	25.96	43.1
565	25.98	43.06
564	25.98	43.17
563	25.96	43.22
563	25.98	43.27
564	25.95	43.17
563	25.98	43.21
563	25.98	43.18
562	25.96	43.2
562	25.98	43.47
562	25.99	43.31
561	25.98	43.2
562	25.96	43.45
563	25.98	43.49
569	25.98	43.32
569	25.99	43.28
573	25.99	43.23
572	25.99	43.22
571	26.01	43.2
571	25.98	43.19
573	25.96	43.22
572	25.99	43.41
573	25.99	43.55
573	25.96	43.7
576	25.95	43.37
579	25.99	43.27
579	25.99	43.22
580	25.99	43.24
580	25.98	43.29
580	25.99	43.38
580	25.98	43.23
581	25.99	43.23
581	25.99	43.52
581	25.98	43.57
581	25.98	43.32
581	26.01	43.26
581	25.98	43.2
580	25.98	43.19
580	26.01	43.23
581	25.99	43.27
580	25.98	43.27
579	25.98	43.29
578	26.01	43.25
579	25.99	43.22
579	25.98	43.13
578	25.98	43.13
576	25.99	43.24
576	25.99	43.24
576	25.99	43.24
576	25.98	43.51
577	25.98	44.07
577	26.01	43.47
582	25.99	43.26
583	25.99	43.23
584	25.99	43.27
584	25.99	43.3
584	25.98	43.32
584	26.02	43.44
582	25.99	43.27
579	25.99	43.26
578	25.99	43.22
577	26.02	43.19
576	26.01	43.2
576	26.02	43.22
577	26.01	43.22
576	26.01	43.23
575	26.01	43.22
575	26.02	43.44
574	26.03	43.42
574	26.02	43.38
575	25.99	43.23
577	26.02	43.26
577	25.96	43.31
578	25.99	43.27
577	25.96	43.33
578	25.98	43.45
578	25.96	43.5
579	25.99	43.42
581	25.96	43.42
582	25.96	43.38
581	25.99	43.33
581	25.99	43.33
581	25.99	43.32
581	25.96	43.35
585	25.98	43.33
584	25.98	43.32
586	25.99	43.33
584	25.98	43.33
584	25.96	43.31
585	25.96	43.35
584	25.98	43.33
584	25.96	43.32
584	25.96	43.38
585	25.96	43.31
585	25.96	43.38
585	25.95	43.41
586	25.95	43.35
586	25.98	43.37
586	25.96	43.33
589	25.96	43.32
589	25.96	43.33
589	25.92	43.38
589	25.94	43.42
589	25.95	43.4
589	25.94	43.45
590	25.92	43.44
590	25.96	43.44
590	25.95	43.46
590	25.91	43.44
591	25.94	43.43
592	25.94	43.45
591	25.92	43.41
590	25.94	43.44
591	25.91	43.43
592	25.91	43.41
592	25.92	43.36
594	25.92	43.44
593	25.91	43.4
593	25.89	43.41
593	25.88	43.46
593	25.88	43.45
593	25.89	43.42
594	25.89	43.46
594	25.88	43.41
594	25.89	43.41
594	25.87	43.4
593	25.87	43.41
592	25.85	43.43
592	25.85	43.48
591	25.88	43.48
591	25.89	43.54
590	25.87	43.5
588	25.89	43.46
588	25.89	43.38
589	25.89	43.43
590	25.89	43.43
590	25.87	43.44
590	25.89	43.46
591	25.89	43.46
591	25.89	43.39
590	25.89	43.39
590	25.91	43.41
590	25.91	43.4
589	25.92	43.38
588	25.89	43.36
588	25.89	43.39
588	25.89	43.31
588	25.89	43.34
588	25.89	43.33
588	25.91	43.28
589	25.89	43.29
587	25.91	43.28
587	25.89	43.31
586	25.89	43.34
585	25.88	43.35
585	25.89	43.35
585	25.91	43.36
584	25.85	43.37
584	25.89	43.37
584	25.89	43.39
583	25.88	43.34
581	25.88	43.37
581	25.89	43.31
580	25.89	43.34
580	25.89	43.27
580	25.89	43.32
580	25.89	43.3
580	25.88	43.31
579	25.91	43.31
577	25.89	43.3
577	25.88	43.35
577	25.89	43.27
576	25.88	43.32
576	25.89	43.29
577	25.88	43.24
576	25.91	43.28
575	25.87	43.34
575	25.88	43.35
575	25.87	43.29
575	25.87	43.22
574	25.85	43.22
573	25.87	43.26
572	25.84	43.25
572	25.85	43.32
572	25.88	43.34
571	25.85	43.41
571	25.87	43.43
571	25.88	43.39
571	25.88	43.39
571	25.85	43.35
572	25.87	43.35
572	25.87	43.34
571	25.87	43.4
571	25.85	43.33
570	25.87	43.35
572	25.87	43.26
570	25.88	43.25
569	25.87	43.29
569	25.85	43.28
568	25.85	43.29
568	25.87	43.3
568	25.87	43.27
568	25.85	43.2
569	25.89	43.24
569	25.88	43.26
569	25.84	43.27
567	25.87	43.25
568	25.88	43.28
567	25.85	43.23
567	25.84	43.25
567	25.84	43.29
567	25.87	43.29
566	25.84	43.26
564	25.84	43.32
564	25.85	43.26
562	25.85	43.29
562	25.84	43.34
561	25.84	43.3
561	25.84	43.23
561	25.84	43.27
560	25.84	43.2
559	25.82	43.25
559	25.84	43.29
557	25.84	43.25
557	25.84	43.29
556	25.84	43.26
556	25.82	43.25
556	25.84	43.25
555	25.81	43.24
555	25.8	43.29
554	25.82	43.23
553	25.81	43.33
553	25.82	43.29
553	25.82	43.33
553	25.82	43.28
553	25.81	43.28
553	25.81	43.21
553	25.82	43.22
552	25.82	43.32
552	25.8	43.32
552	25.81	43.34
551	25.81	43.3
550	25.81	43.35
551	25.82	43.3
550	25.8	43.36
551	25.81	43.35
550	25.78	43.37
549	25.8	43.38
550	25.8	43.37
550	25.78	43.36
549	25.8	43.31
549	25.81	43.41
548	25.8	43.35
548	25.8	43.32
548	25.82	43.27
546	25.8	43.24
546	25.8	43.24
547	25.77	43.21
546	25.78	43.28
545	25.78	43.31
545	25.8	43.27
544	25.8	43.35
543	25.78	43.32
542	25.75	43.36
542	25.78	43.39
541	25.78	43.29
540	25.77	43.27
540	25.75	43.32
538	25.77	43.34
538	25.75	43.37
537	25.75	43.37
537	25.77	43.4
537	25.74	43.4
536	25.73	43.42
534	25.73	43.35
534	25.74	43.34
535	25.73	43.38
536	25.71	43.46
536	25.74	43.46
535	25.71	43.43
536	25.73	43.5
535	25.73	43.55
535	25.74	43.5
535	25.73	43.45
535	25.74	43.44
533	25.73	43.42
533	25.73	43.46
532	25.71	43.5
531	25.71	43.48
532	25.74	43.4
531	25.74	43.45
531	25.74	43.51
530	25.74	43.5
530	25.75	43.44
530	25.74	43.46
530	25.77	43.42
529	25.73	43.39
530	25.73	43.43
531	25.74	43.4
531	25.73	43.44
531	25.73	43.38
530	25.71	43.42
529	25.73	43.4
529	25.74	43.46
528	25.71	43.44
527	25.73	43.44
527	25.74	43.39
526	25.74	43.44
526	25.7	43.39
527	25.73	43.4
525	25.73	43.37
524	25.7	43.43
524	25.73	43.45
524	25.7	43.44
524	25.73	43.47
523	25.74	43.51
523	25.71	43.46
524	25.73	43.43
524	25.71	43.46
525	25.7	43.38
522	25.7	43.39
521	25.71	43.39
521	25.71	43.42
521	25.73	43.46
520	25.7	43.41
520	25.7	43.39
521	25.71	43.46
522	25.7	43.52
521	25.7	43.49
522	25.7	43.51
522	25.68	43.46
522	25.71	43.47
520	25.7	43.5
520	25.67	43.54
520	25.71	43.48
520	25.7	43.49
520	25.68	43.56
520	25.71	43.47
519	25.68	43.5
519	25.7	43.52
519	25.68	43.49
519	25.68	43.48
519	25.71	43.47
518	25.68	43.45
517	25.68	43.49
516	25.68	43.56
516	25.71	43.52
515	25.7	43.6
515	25.7	43.57
515	25.68	43.52
514	25.7	43.5
513	25.67	43.5
514	25.7	43.52
513	25.7	43.49
511	25.68	43.46
513	25.68	43.47
512	25.71	43.46
512	25.7	43.47
512	25.7	43.54
512	25.7	43.55
512	25.68	43.53
511	25.68	43.54
510	25.68	43.52
510	25.7	43.52
509	25.7	43.52
508	25.68	43.47
508	25.7	43.51
508	25.65	43.51
507	25.67	43.48
507	25.68	43.5
507	25.65	43.49
507	25.67	43.5
506	25.68	43.54
506	25.65	43.58
506	25.65	43.56
505	25.67	43.6
505	25.64	43.57
505	25.65	43.57
505	25.64	43.57
505	25.67	43.6
504	25.63	43.6
503	25.63	43.61
503	25.64	43.63
503	25.65	43.66
502	25.65	43.65
502	25.64	43.61
502	25.67	43.58
501	25.65	43.64
498	25.63	43.6
498	25.63	43.64
499	25.65	43.66
499	25.63	43.68
500	25.65	43.68
500	25.65	43.66
500	25.64	43.68
498	25.65	43.66
498	25.64	43.65
498	25.64	43.61
499	25.64	43.6
498	25.65	43.68
499	25.64	43.73
499	25.61	43.7
500	25.6	43.65
499	25.61	43.7
498	25.61	43.66
497	25.6	43.72
497	25.58	43.69
497	25.61	43.7
497	25.6	43.73
495	25.6	43.69
493	25.6	43.7
493	25.6	43.68
493	25.61	43.74
492	25.58	43.69
492	25.61	43.67
492	25.6	43.73
491	25.56	43.73
491	25.6	43.78
492	25.58	43.79
492	25.6	43.79
492	25.6	43.79
493	25.6	43.8
493	25.58	43.76
493	25.6	43.77
494	25.6	43.81
494	25.6	43.76
495	25.61	43.8
494	25.6	43.78
493	25.6	43.84
493	25.58	43.87
493	25.58	43.83
492	25.58	43.78
491	25.57	43.77
491	25.56	43.79
491	25.57	43.78
489	25.54	43.82
487	25.57	43.82
486	25.57	43.77
485	25.56	43.81
484	25.56	43.84
485	25.56	43.82
485	25.54	43.86
485	25.56	43.84
485	25.56	43.89
484	25.54	43.89
484	25.53	43.93
484	25.53	43.89
484	25.53	43.93
485	25.51	43.93
484	25.54	43.9
484	25.54	43.9
484	25.53	43.95
485	25.56	43.96
485	25.51	44.0
486	25.51	43.96
486	25.51	43.95
485	25.51	43.95
486	25.53	43.96
485	25.5	43.96
486	25.48	44.03
486	25.5	44.05
486	25.48	44.0
486	25.47	44.05
487	25.48	44.06
487	25.48	44.06
486	25.47	44.02
486	25.5	44.09
486	25.5	44.03
486	25.48	44.01
485	25.47	44.07
484	25.48	44.03
484	25.46	44.03
482	25.5	44.03
482	25.46	44.07
482	25.47	44.1
482	25.48	44.02
482	25.5	44.12
483	25.47	44.09
483	25.47	44.06
483	25.46	44.07
482	25.46	44.03
483	25.47	44.02
482	25.47	44.04
483	25.46	43.99
481	25.44	43.98
481	25.47	44.08
481	25.46	44.09
480	25.48	44.07
479	25.47	44.11
478	25.46	44.09
478	25.44	44.09
477	25.46	44.11
476	25.44	44.11
476	25.46	44.11
476	25.43	44.16
476	25.47	44.11
475	25.43	44.14
474	25.44	44.15
474	25.43	44.2
474	25.44	44.19
473	25.4	44.19
473	25.44	44.23
471	25.41	44.18
471	25.41	44.19
471	25.38	44.25
470	25.41	44.21
471	25.4	44.28
470	25.4	44.26
469	25.38	44.28
470	25.37	44.28
470	25.4	44.28
470	25.4	44.26
471	25.4	44.24
470	25.4	44.27
469	25.38	44.25
468	25.37	44.26
468	25.38	44.27
468	25.38	44.29
468	25.4	44.26
468	25.4	44.28
468	25.41	44.26
468	25.38	44.23
467	25.36	44.34
467	25.4	44.29
467	25.41	44.29
467	25.38	44.26
468	25.38	44.28
467	25.38	44.32
466	25.4	44.26
466	25.38	44.29
465	25.38	44.3
465	25.4	44.27
465	25.38	44.27
465	25.37	44.27
464	25.37	44.29
463	25.37	44.28
463	25.37	44.3
462	25.37	44.31
462	25.38	44.32
462	25.36	44.35
461	25.36	44.32
460	25.34	44.35
459	25.36	44.39
459	25.36	44.38
457	25.36	44.35
457	25.37	44.34
457	25.34	44.36
457	25.33	44.38
458	25.36	44.46
460	25.33	44.46
460	25.33	44.49
461	25.34	44.47
458	25.32	44.46
457	25.33	44.46
455	25.3	44.41
456	25.33	44.46
458	25.32	44.47
456	25.33	44.43
455	25.3	44.45
439	25.3	44.51
440	25.32	44.47
443	25.32	44.52
444	25.32	44.46
448	25.33	44.51
448	25.29	44.52
448	25.32	44.5
451	25.29	44.5
451	25.29	44.51
452	25.27	44.5
454	25.3	44.46
457	25.3	44.51
458	25.29	44.53
461	25.3	44.56
461	25.29	44.52
461	25.3	44.5
461	25.27	44.54
461	25.29	44.59
460	25.29	44.57
460	25.3	44.57
459	25.29	44.54
457	25.27	44.53
454	25.29	44.58
454	25.27	44.57
454	25.27	44.54
453	25.29	44.59
453	25.27	44.58
453	25.27	44.57
453	25.29	44.6
